2026-03-16 12:10:05 | INFO | CI | === RUN START ===
2026-03-16 12:10:05 | INFO | CI | project=NLP
2026-03-16 12:10:05 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-16 12:10:05 | INFO | CI | python=3.14.3
2026-03-16 12:10:05 | INFO | CI | os=Windows 11
2026-03-16 12:10:05 | INFO | CI | shell=powershell
2026-03-16 12:10:05 | INFO | CI | cwd=.
2026-03-16 12:10:05 | INFO | CI | github_actions=False
2026-03-16 12:10:05 | INFO | CI | START script.....
2026-03-16 12:10:05 | INFO | CI | ROOT_PATH = .
2026-03-16 12:10:05 | INFO | CI | DATA_PATH = data
2026-03-16 12:10:05 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-16 12:10:05 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-16 12:53:55 | INFO | CI | === RUN START ===
2026-03-16 12:53:55 | INFO | CI | project=NLP
2026-03-16 12:53:55 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-16 12:53:55 | INFO | CI | python=3.14.3
2026-03-16 12:53:55 | INFO | CI | os=Windows 11
2026-03-16 12:53:55 | INFO | CI | shell=powershell
2026-03-16 12:53:55 | INFO | CI | cwd=.
2026-03-16 12:53:55 | INFO | CI | github_actions=False
2026-03-16 12:53:55 | INFO | CI | START script.....
2026-03-16 12:53:55 | INFO | CI | ROOT_PATH = .
2026-03-16 12:53:55 | INFO | CI | DATA_PATH = data
2026-03-16 12:53:55 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-16 12:53:55 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 20:06:12 | INFO | CI | === RUN START ===
2026-03-17 20:06:12 | INFO | CI | project=NLP
2026-03-17 20:06:12 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 20:06:12 | INFO | CI | python=3.14.3
2026-03-17 20:06:12 | INFO | CI | os=Windows 11
2026-03-17 20:06:12 | INFO | CI | shell=powershell
2026-03-17 20:06:12 | INFO | CI | cwd=.
2026-03-17 20:06:12 | INFO | CI | github_actions=False
2026-03-17 20:06:12 | INFO | CI | START script.....
2026-03-17 20:06:12 | INFO | CI | ROOT_PATH = .
2026-03-17 20:06:12 | INFO | CI | DATA_PATH = data
2026-03-17 20:06:12 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 20:06:12 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 20:21:51 | INFO | CI | === RUN START ===
2026-03-17 20:21:51 | INFO | CI | project=NLP
2026-03-17 20:21:51 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 20:21:51 | INFO | CI | python=3.14.3
2026-03-17 20:21:51 | INFO | CI | os=Windows 11
2026-03-17 20:21:51 | INFO | CI | shell=powershell
2026-03-17 20:21:51 | INFO | CI | cwd=.
2026-03-17 20:21:51 | INFO | CI | github_actions=False
2026-03-17 20:21:51 | INFO | CI | START script.....
2026-03-17 20:21:51 | INFO | CI | ROOT_PATH = .
2026-03-17 20:21:51 | INFO | CI | DATA_PATH = data
2026-03-17 20:21:51 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 20:21:51 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 20:27:02 | INFO | CI | === RUN START ===
2026-03-17 20:27:02 | INFO | CI | project=NLP
2026-03-17 20:27:02 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 20:27:02 | INFO | CI | python=3.14.3
2026-03-17 20:27:02 | INFO | CI | os=Windows 11
2026-03-17 20:27:02 | INFO | CI | shell=powershell
2026-03-17 20:27:02 | INFO | CI | cwd=.
2026-03-17 20:27:02 | INFO | CI | github_actions=False
2026-03-17 20:27:02 | INFO | CI | START script.....
2026-03-17 20:27:02 | INFO | CI | ROOT_PATH = .
2026-03-17 20:27:02 | INFO | CI | DATA_PATH = data
2026-03-17 20:27:02 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 20:27:02 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 20:43:24 | INFO | CI | === RUN START ===
2026-03-17 20:43:24 | INFO | CI | project=NLP
2026-03-17 20:43:24 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 20:43:24 | INFO | CI | python=3.14.3
2026-03-17 20:43:24 | INFO | CI | os=Windows 11
2026-03-17 20:43:24 | INFO | CI | shell=powershell
2026-03-17 20:43:24 | INFO | CI | cwd=.
2026-03-17 20:43:24 | INFO | CI | github_actions=False
2026-03-17 20:43:24 | INFO | CI | START script.....
2026-03-17 20:43:24 | INFO | CI | ROOT_PATH = .
2026-03-17 20:43:24 | INFO | CI | DATA_PATH = data
2026-03-17 20:43:24 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 20:43:24 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 20:51:02 | INFO | CI | === RUN START ===
2026-03-17 20:51:02 | INFO | CI | project=NLP
2026-03-17 20:51:02 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-17 20:51:02 | INFO | CI | python=3.14.3
2026-03-17 20:51:02 | INFO | CI | os=Windows 11
2026-03-17 20:51:02 | INFO | CI | shell=powershell
2026-03-17 20:51:02 | INFO | CI | cwd=.
2026-03-17 20:51:02 | INFO | CI | github_actions=False
2026-03-17 20:51:02 | INFO | CI | START script.....
2026-03-17 20:51:02 | INFO | CI | ROOT_PATH = .
2026-03-17 20:51:02 | INFO | CI | DATA_PATH = data
